City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
113,hofn,20,IS,1568656433,57,64.25,-15.21,48.2,17.22
114,kitaibaraki,0,JP,1568656433,93,36.84,140.74,73.99,9.71
115,saint-philippe,40,CA,1568656433,46,45.36,-73.48,70.0,5.82
116,nikolskoye,75,RU,1568656434,87,59.7,30.79,48.2,11.18
117,ugoofaaru,98,MV,1568656434,70,5.67,73.0,83.47,7.94
118,kununurra,55,AU,1568656434,82,-15.77,128.74,64.4,1.23
119,agulu,83,NG,1568656434,90,6.11,7.07,76.63,5.77
120,kijang,20,KR,1568656435,72,35.24,129.21,68.0,10.29
121,kodiak,1,US,1568656435,62,39.95,-94.76,89.01,10.29
122,norfolk,75,US,1568656367,58,36.85,-76.29,87.8,6.93
123,onega,97,RU,1568656435,87,63.91,38.09,47.47,6.31
124,turan,0,RU,1568656435,93,52.15,93.92,36.85,1.57
125,atikokan,60,CA,1568656436,59,48.76,-91.62,77.71,10.02
126,yarkovo,0,RU,1568656436,87,54.81,82.6,53.6,6.71
127,tianpeng,23,CN,1568656436,84,28.88,112.34,66.91,11.27
